processID,quantity,Throughput,mean_beta,var_beta,var_measurement_err,Threshold,mean_unit0,var_unit0,replacement_cost,fix_cost,failure_cost
1,1,55,0.68,0.1156,1,20,0.68,0.1156,18,0,1000
1,1,80,0.42,0.0441,0.5,20,0.42,0.0441,24,0,5000
1,1,120,0.64,0.1024,1,20,0.64,0.1024,28,0,25000
2,1,90,0.78,0.1521,1,20,0.78,0.1521,25,0,750
2,1,145,1.6,0.64,0.5,20,1.6,0.64,27,0,3750
3,1,70,0.3,0.0225,1,20,0.3,0.0225,18,0,2500
3,1,95,0.41,0.042025,1,20,0.41,0.042025,30,0,62500
3,1,80,0.51,0.065025,1,20,0.51,0.065025,25,0,12500
4,1,95,0.85,0.180625,1,20,0.85,0.180625,21,0,1250
4,1,130,0.73,0.133225,0.5,20,0.73,0.133225,26,0,6250
5,1,50,0.3,0.0225,1,20,0.3,0.0225,29,0,625
5,1,75,0.68,0.1156,1,20,0.68,0.1156,29,0,3125
5,1,85,0.42,0.0441,1,20,0.42,0.0441,24,0,15625
5,1,95,0.46,0.0529,0.5,20,0.46,0.0529,18,0,78125
